"Point","Type","Station","Northing","Easting","Elevation"
"0","BEG","0+000","1673035.25","726651.46","625.850"
"1","PT","0+163.81","1673051.68","726815.60","625.543"
"2","PT","2+063.77","1672130.47","728479.47","504.226"
"3","PT","2+603.58","1671662.07","728758.97","469.758"
"4","END","3+030.73","1671268.20","728581.38","464.220"
