"Point","Type","Station","Northing","Easting","Elevation"
"0","","204+874.1","1269294.1221","2612071.5482","270.962"
"221","PT","205+389.861","1269029.5935","2612426.3308","253.058"
"EC10:3","EC","209+528.128","1265960.7791","2614558.6330","268.579"
