,id_point,x_buffer,y_buffer
0,0,2612071.548,1269294.122
1,0,2612091.41629164,1269345.4079726173
2,0,2612108.6012604004,1269334.767490447
3,0,2612120.7819810244,1269318.6376095677
4,0,2612126.313379696,1269299.1967597704
5,0,2612124.4484103746,1269279.070535546
6,0,2612115.4389475,1269260.977094999
7,0,2612100.5017689583,1269247.3600575349
8,0,2612081.65422348,1269240.0584795175
9,0,2612061.44177652,1269240.0584795175
10,0,2612042.5942310416,1269247.3600575349
11,0,2612027.6570524997,1269260.977094999
12,0,2612018.6475896253,1269279.070535546
13,0,2612016.782620304,1269299.1967597704
14,0,2612022.3140189755,1269318.6376095677
15,0,2612034.4947395995,1269334.767490447
16,0,2612051.6797083598,1269345.4079726173
17,0,2612071.548,1269349.122
0,0,2612071.548,1269294.122
1,0,2612091.41629164,1269345.4079726173
2,0,2612108.6012604004,1269334.767490447
3,0,2612120.7819810244,1269318.6376095677
4,0,2612126.313379696,1269299.1967597704
5,0,2612124.4484103746,1269279.070535546
6,0,2612115.4389475,1269260.977094999
7,0,2612100.5017689583,1269247.3600575349
8,0,2612081.65422348,1269240.0584795175
9,0,2612061.44177652,1269240.0584795175
10,0,2612042.5942310416,1269247.3600575349
11,0,2612027.6570524997,1269260.977094999
12,0,2612018.6475896253,1269279.070535546
13,0,2612016.782620304,1269299.1967597704
14,0,2612022.3140189755,1269318.6376095677
15,0,2612034.4947395995,1269334.767490447
16,0,2612051.6797083598,1269345.4079726173
17,0,2612071.548,1269349.122
0,1,2612142.505,1269241.216
1,1,2612162.37329164,1269292.5019726173
2,1,2612179.5582604003,1269281.861490447
3,1,2612191.7389810244,1269265.7316095678
4,1,2612197.270379696,1269246.2907597704
5,1,2612195.4054103745,1269226.164535546
6,1,2612186.3959475,1269208.071094999
7,1,2612171.458768958,1269194.454057535
8,1,2612152.6112234797,1269187.1524795175
9,1,2612132.39877652,1269187.1524795175
10,1,2612113.5512310416,1269194.454057535
11,1,2612098.6140524996,1269208.071094999
12,1,2612089.6045896253,1269226.164535546
13,1,2612087.7396203037,1269246.2907597704
14,1,2612093.2710189754,1269265.7316095678
15,1,2612105.4517395995,1269281.861490447
16,1,2612122.6367083597,1269292.5019726173
17,1,2612142.505,1269296.216
0,2,2612213.461,1269188.311
1,2,2612233.3292916403,1269239.5969726173
2,2,2612250.5142604006,1269228.956490447
3,2,2612262.6949810246,1269212.8266095677
4,2,2612268.2263796963,1269193.3857597704
5,2,2612266.3614103748,1269173.259535546
6,2,2612257.3519475004,1269155.166094999
7,2,2612242.4147689585,1269141.549057535
8,2,2612223.56722348,1269134.2474795175
9,2,2612203.3547765203,1269134.2474795175
10,2,2612184.507231042,1269141.549057535
11,2,2612169.5700525,1269155.166094999
12,2,2612160.5605896255,1269173.259535546
13,2,2612158.695620304,1269193.3857597704
14,2,2612164.2270189757,1269212.8266095677
15,2,2612176.4077395997,1269228.956490447
16,2,2612193.59270836,1269239.5969726173
17,2,2612213.461,1269243.311
0,3,2612284.418,1269135.405
1,3,2612304.2862916403,1269186.6909726174
2,3,2612321.4712604005,1269176.050490447
3,3,2612333.6519810245,1269159.9206095678
4,3,2612339.183379696,1269140.4797597704
5,3,2612337.3184103747,1269120.353535546
6,3,2612328.3089475003,1269102.260094999
7,3,2612313.3717689584,1269088.643057535
