easting,northing,site_name,tmp1517065980255
2612174.25778913,1269242.70835191,,255.9643
2612181.69374321,1269235.27239783,,255.9272
2612184.4154913,1269225.11469565,,256.0986
2612181.69374321,1269214.95699348,,256.5095
2612174.25778913,1269207.5210394,,256.758
2612164.10008696,1269204.7992913,,256.8104
2612153.94238478,1269207.5210394,,256.2793
2612146.5064307,1269214.95699348,,254.135
2612143.78468261,1269225.11469565,,253.4295
2612146.5064307,1269235.27239783,,257.0527
2612153.94238478,1269242.70835191,,257.2042
2612164.10008696,1269245.4301,,256.3064
2612172.89691508,1269230.19354674,,256.2181
2612172.89691508,1269220.03584457,,256.7483
2612164.10008696,1269214.95699348,,256.8941
2612155.30325883,1269220.03584457,,257.0566
2612155.30325883,1269230.19354674,,257.0191
2612164.10008696,1269235.27239783,,256.9398
2612179.52543478,1269213.61347826,,256.8028
2612189.84789565,1269231.49250495,,255.9159
2612197.40446147,1269223.93593913,,255.7886
2612200.17035652,1269213.61347826,,255.7943
2612197.40446147,1269203.29101739,,255.9327
2612189.84789565,1269195.73445158,,256.726
2612179.52543478,1269192.96855652,,256.6107
2612169.20297391,1269195.73445158,,256.7668
2612161.6464081,1269203.29101739,,256.8104
2612158.88051304,1269213.61347826,,257.0064
2612161.6464081,1269223.93593913,,256.8608
2612169.20297391,1269231.49250495,,256.7493
2612179.52543478,1269234.2584,,256.0313
2612188.46494813,1269218.7747087,,256.045
2612188.46494813,1269208.45224783,,256.3565
2612179.52543478,1269203.29101739,,256.7327
2612170.58592144,1269208.45224783,,256.758
2612170.58592144,1269218.7747087,,256.8217
2612179.52543478,1269223.93593913,,256.3224
2612194.95078261,1269202.11226087,,256.1754
2612204.58005081,1269220.45929855,,255.7918
2612212.00336971,1269213.88281188,,255.8377
2612215.52014641,1269204.60983382,,255.8725
2612214.32472975,1269194.76469189,,255.8925
2612208.69097528,1269186.60278947,,255.8656
2612199.90950826,1269181.99392004,,256.4526
2612189.99205695,1269181.99392004,,256.4832
2612181.21058993,1269186.60278947,,256.5313
2612175.57683547,1269194.76469189,,256.6107
2612174.38141881,1269204.60983382,,256.768
2612177.89819551,1269213.88281188,,256.8028
2612185.32151441,1269220.45929855,,256.1393
2612194.95078261,1269222.8327,,255.9054
2612203.92299594,1269207.29237065,,255.7875
2612203.92299594,1269196.93215109,,255.8876
2612194.95078261,1269191.7520413,,256.6938
2612185.97856928,1269196.93215109,,256.726
2612185.97856928,1269207.29237065,,256.3565
2612194.95078261,1269212.47248043,,255.9477
2612210.37613043,1269190.61104348,,255.8925
2612220.12054188,1269209.17746829,,255.8767
2612227.6326261,1269202.52234241,,255.8742
2612231.19145512,1269193.13848148,,255.8245
2612229.98174411,1269183.17561497,,255.8009
2612224.28062328,1269174.91611553,,255.7827
2612215.39415071,1269170.25213493,,255.8733
2612205.35811016,1269170.25213493,,256.3476
2612196.47163759,1269174.91611553,,256.4132
2612190.77051676,1269183.17561497,,256.5188
2612189.56080575,1269193.13848148,,256.6572
2612193.11963477,1269202.52234241,,256.1754
2612200.63171899,1269209.17746829,,255.7875
2612210.37613043,1269211.57925,,255.8377
2612219.45563019,1269195.85309511,,255.8967
2612219.45563019,1269185.36899185,,255.7727
2612210.37613043,1269180.12694022,,255.9568
2612201.29663067,1269185.36899185,,256.1067
2612201.29663067,1269195.85309511,,255.8876
2612210.37613043,1269201.09514674,,255.8441
2612225.80147826,1269179.10982609,,255.8041
2612235.70622728,1269197.98174863,,255.8406
2612243.34191767,1269191.21711723,,255.8545
2612246.95930477,1269181.67885134,,255.8671
2612245.7296888,1269171.55205273,,255.7936
2612239.93475996,1269163.15664891,,255.7464
2612230.9020666,1269158.41592573,,255.7248
2612220.70088992,1269158.41592573,,256.0828
2612211.66819656,1269163.15664891,,256.1933
2612205.87326772,1269171.55205273,,256.3476
2612204.64365175,1269181.67885134,,256.2265
2612208.26103885,1269191.21711723,,255.8778
2612215.89672924,1269197.98174863,,255.8967
2612225.80147826,1269200.42305,,255.8742
2612235.03037493,1269184.43813207,,255.8625
2612235.03037493,1269173.78152011,,255.8212
2612225.80147826,1269168.45321413,,255.8394
2612216.57258159,1269173.78152011,,255.8733
2612216.57258159,1269184.43813207,,255.7796
2612225.80147826,1269189.76643804,,255.8085
2612241.22682609,1269167.6086087,,255.7702
2612251.30457639,1269186.81015764,,255.7445
2612259.07363555,1269179.92737182,,255.7471
2612262.75420574,1269170.22250583,,255.8011
2612261.50311269,1269159.9188275,,255.8354
2612255.60696673,1269151.37678537,,255.8072
2612246.41650384,1269146.55325836,,255.7872
2612236.03714833,1269146.55325836,,255.7078
2612226.84668545,1269151.37678537,,255.9515
2612220.95053949,1269159.9188275,,256.0828
2612219.69944643,1269170.22250583,,255.8733
2612223.38001662,1269179.92737182,,255.7717
2612231.14907578,1269186.81015764,,255.8245
2612241.22682609,1269189.2941,,255.8733
2612250.61691927,1269173.02998152,,255.7711
2612250.61691927,1269162.18723587,,255.8553
2612241.22682609,1269156.76586304,,255.8147
2612231.8367329,1269162.18723587,,255.7774
2612231.8367329,1269173.02998152,,255.8614
2612241.22682609,1269178.45135435,,255.8442
2612256.65217391,1269156.1073913,,255.8361
2612266.92611519,1269175.68275091,,255.1485
2612274.84642033,1269168.66597284,,255.5843
2612278.59864289,1269158.77217509,,255.897
2612277.32319388,1269148.26790749,,255.7654
2612271.31226331,1269139.55957115,,255.9399
2612261.94288294,1269134.64214099,,255.8277
2612251.36146489,1269134.64214099,,255.9112
2612241.99208451,1269139.55957115,,255.7388
2612235.98115394,1269148.26790749,,255.7078
2612234.70570494,1269158.77217509,,255.7248
2612238.45792749,1269168.66597284,,255.8008
2612246.37823264,1269175.68275091,,255.7814
2612256.65217391,1269178.21505,,255.7471
2612266.22507094,1269161.63430598,,255.753
2612266.22507094,1269150.58047663,,255.8538
2612256.65217391,1269145.05356196,,255.8087
2612247.07927689,1269150.58047663,,255.7732
2612247.07927689,1269161.63430598,,255.7902
2612256.65217391,1269167.16122065,,255.8048
2612272.07752174,1269144.60617391,,255.854
2612281.84243371,1269164.88322256,,255.9606
2612289.67328511,1269158.63832696,,256.2239
2612294.01907978,1269149.61419135,,256.6605
2612294.01907978,1269139.59815647,,256.8286
2612289.67328511,1269130.57402087,,255.8845
2612281.84243371,1269124.32912526,,255.9387
2612272.07752174,1269122.10034783,,255.9161
2612262.31260976,1269124.32912526,,255.9431
2612254.48175837,1269130.57402087,,255.9112
2612250.1359637,1269139.59815647,,255.8087
2612250.1359637,1269149.61419135,,255.8087
2612254.48175837,1269158.63832696,,255.84
2612262.31260976,1269164.88322256,,255.8399
2612272.07752174,1269167.112,,255.5843
2612280.87540343,1269151.62225044,,256.0645
2612283.04830076,1269142.10216519,,255.8317
2612276.95997773,1269134.46764959,,255.9114
2612267.19506575,1269134.46764959,,255.7889
2612261.10674272,1269142.10216519,,255.8618
2612263.27964005,1269151.62225044,,255.8098
2612272.07752174,1269155.85908696,,256.0464
2612287.50286957,1269133.10495652,,255.8845
2612297.44327336,1269153.7464177,,257.4862
2612305.41485828,1269147.38929086,,258.2447
2612309.83875415,1269138.20297642,,257.9292
2612309.83875415,1269128.00693662,,257.1203
2612305.41485828,1269118.82062218,,257.5585
2612297.44327336,1269112.46349534,,256.6028
2612287.50286957,1269110.19466304,,255.9208
2612277.56246577,1269112.46349534,,256.0323
2612269.59088085,1269118.82062218,,256.0444
2612265.16698498,1269128.00693662,,255.8951
2612265.16698498,1269138.20297642,,255.8319
2612269.59088085,1269147.38929086,,255.9776
2612277.56246577,1269153.7464177,,256.107
2612287.50286957,1269156.01525,,256.2239
2612296.45886392,1269140.24712369,,256.7718
2612298.67081186,1269130.55594657,,257.1088
2612292.47307146,1269122.78422593,,256.7311
2612282.53266767,1269122.78422593,,255.9387
2612276.33492727,1269130.55594657,,255.9114
2612278.54687521,1269140.24712369,,255.7729
2612287.50286957,1269144.56010326,,256.4944
2612302.92821739,1269121.60373913,,257.6697
2612312.76803536,1269143.70433213,,258.1755
2612320.9064594,1269137.79142095,,258.2769
2612325.93628208,1269129.07951252,,257.9514
2612326.98780135,1269119.07497496,,257.5601
2612323.87919998,1269109.5076837,,257.1828
2612317.14798338,1269102.03191031,,256.8574
2612307.95804007,1269097.94028393,,255.8021
2612297.89839472,1269097.94028393,,255.8953
2612288.7084514,1269102.03191031,,255.9658
2612281.97723481,1269109.5076837,,255.9872
2612278.86863344,1269119.07497496,,255.953
2612279.92015271,1269129.07951252,,255.8999
2612284.94997538,1269137.79142095,,255.772
2612293.08839943,1269143.70433213,,256.7259
2612302.92821739,1269145.79585,,258.1754
2612312.38529434,1269129.14550634,,257.5548
2612314.72099946,1269118.91211358,,257.1359
2612308.17649915,1269110.70556976,,258.1443
2612297.67993563,1269110.70556976,,256.6028
2612291.13543532,1269118.91211358,,255.7725
2612293.47114044,1269129.14550634,,257.3018
2612302.92821739,1269133.69979457,,256.9536
2612318.35356522,1269110.10252174,,257.2939
2612328.27526634,1269132.38702732,,258.1144
2612336.4814152,1269126.42491118,,260.4807
2612341.55309412,1269117.64050562,,259.8478
2612342.61336373,1269107.55271417,,258.1051
2612339.47889378,1269097.90580761,,257.0565
2612332.6916626,1269090.36782373,,256.8149
2612323.42524413,1269086.24214841,,256.5374
2612313.2818863,1269086.24214841,,255.7986
2612304.01546783,1269090.36782373,,255.7392
2612297.22823666,1269097.90580761,,255.8953
2612294.09376671,1269107.55271417,,255.9229
2612295.15403631,1269117.64050562,,257.7571
2612300.22571523,1269126.42491118,,257.0672
2612308.43186409,1269132.38702732,,257.2457
2612318.35356522,1269134.49595,,257.9878
2612327.88934031,1269117.70704862,,257.5601
2612330.24448226,1269107.38849752,,257.2451
2612323.64552115,1269099.11366202,,256.7802
2612313.06160928,1269099.11366202,,255.7428
2612306.46264817,1269107.38849752,,258.3896
2612308.81779013,1269117.70704862,,257.5585
2612318.35356522,1269122.29923587,,257.5582
2612333.77891304,1269098.60130435,,256.9379
2612343.78652402,1269121.07876662,,260.1803
2612352.06372814,1269115.06502581,,258.8221
2612357.17932162,1269106.20455799,,258.694
2612358.24877187,1269096.02941855,,258.6292
2612355.08716123,1269086.29898152,,258.2524
2612348.2411609,1269078.69572787,,256.5669
2612338.89450652,1269074.53432924,,256.1601
2612328.66331956,1269074.53432924,,255.7243
2612319.31666519,1269078.69572787,,255.7766
2612312.47066486,1269086.29898152,,255.7986
2612309.30905421,1269096.02941855,,255.8021
2612310.37850446,1269106.20455799,,256.9515
2612315.49409794,1269115.06502581,,257.4813
2612323.77130207,1269121.07876662,,257.709
2612333.77891304,1269123.20595,,257.7675
2612343.39725634,1269106.27167717,,258.1051
2612345.77279095,1269095.86377998,,258.0819
2612339.11669087,1269087.51729448,,256.7704
2612328.44113522,1269087.51729448,,256.5682
2612321.78503514,1269095.86377998,,256.7802
