id_point,x_buffer,y_buffer,z_align,id_buffer_point,z_dtm_buffer,dist,min_dist
0,2612071.548,1269294.122,220.962,0,253.524,32.56200000000001,
0,2612087.0321511417,1269299.1531056855,220.962,1,252.5021,31.540100000000024,
0,2612081.1177316927,1269280.9503943145,220.962,2,252.6407,31.67870000000002,
0,2612061.978268307,1269280.9503943145,220.962,3,254.1904,33.22840000000002,
0,2612056.0638488582,1269299.1531056855,220.962,4,253.792,32.83000000000001,
0,2612071.548,1269310.403,220.962,5,252.4697,31.5077,MIN
1,2612110.9683333333,1269264.73,218.97266666666667,6,257.3883,38.415633333333346,
1,2612127.6027905177,1269274.3339083332,218.97266666666667,7,252.416,33.44333333333333,MIN
1,2612127.6027905177,1269255.1260916668,218.97266666666667,8,252.8656,33.89293333333333,
1,2612110.9683333333,1269245.5221833333,218.97266666666667,9,257.3411,38.368433333333314,
1,2612094.333876149,1269255.1260916668,218.97266666666667,10,255.1968,36.22413333333333,
1,2612094.333876149,1269274.3339083332,218.97266666666667,11,254.3581,35.38543333333334,
1,2612110.9683333333,1269283.9378166667,218.97266666666667,12,257.357,38.38433333333336,
2,2612150.3886666666,1269235.338,216.98333333333332,13,257.0707,40.08736666666667,
2,2612167.7470056186,1269245.3598416667,216.98333333333332,14,256.1491,39.165766666666656,
2,2612167.7470056186,1269225.3161583333,216.98333333333332,15,256.9473,39.963966666666664,
2,2612150.3886666666,1269215.2943166667,216.98333333333332,16,256.9915,40.008166666666654,
2,2612133.0303277145,1269225.3161583333,216.98333333333332,17,253.2971,36.31376666666668,
2,2612133.0303277145,1269245.3598416667,216.98333333333332,18,252.912,35.928666666666686,MIN
2,2612150.3886666666,1269255.3816833333,216.98333333333332,19,257.3793,40.39596666666668,
3,2612189.809,1269205.946,214.994,20,256.3565,41.36249999999998,
3,2612207.7194878818,1269216.286625,214.994,21,255.8314,40.8374,MIN
3,2612207.7194878818,1269195.605375,214.994,22,255.8399,40.8459,
3,2612189.809,1269185.26475,214.994,23,256.5446,41.5506,
3,2612171.898512118,1269195.605375,214.994,24,256.6389,41.64489999999998,
3,2612171.898512118,1269216.286625,214.994,25,256.8217,41.82770000000002,
3,2612189.809,1269226.62725,214.994,26,255.9868,40.99279999999999,
4,2612229.229333333,1269176.554,213.00466666666665,27,255.8041,42.799433333333354,
4,2612247.7620316003,1269187.2538583332,213.00466666666665,28,255.8375,42.832833333333355,
4,2612247.7620316003,1269165.8541416668,213.00466666666665,29,255.7504,42.74573333333336,MIN
4,2612229.229333333,1269155.1542833333,213.00466666666665,30,255.7536,42.748933333333355,
4,2612210.696635066,1269165.8541416668,213.00466666666665,31,256.2175,43.21283333333332,
4,2612210.696635066,1269187.2538583332,213.00466666666665,32,255.7514,42.74673333333334,
4,2612229.229333333,1269197.9537166667,213.00466666666665,33,255.8506,42.845933333333335,
5,2612268.6496666665,1269147.162,211.01533333333333,34,255.9776,44.962266666666665,
5,2612286.2261244683,1269161.1787573677,211.01533333333333,35,256.1663,45.15096666666665,
5,2612290.5671510505,1269142.1594772143,211.01533333333333,36,256.7259,45.71056666666669,
5,2612278.403864857,1269126.9071987516,211.01533333333333,37,255.8999,44.88456666666667,
5,2612258.895468476,1269126.9071987516,211.01533333333333,38,255.7843,44.76896666666667,MIN
5,2612246.7321822825,1269142.1594772143,211.01533333333333,39,255.8087,44.79336666666666,
5,2612251.073208865,1269161.1787573677,211.01533333333333,40,255.8553,44.83996666666667,
5,2612268.6496666665,1269169.6431333334,211.01533333333333,41,255.9095,44.89416666666668,
6,2612308.07,1269117.77,209.02599999999998,42,257.5585,48.5325,
6,2612327.0421182113,1269132.8997594044,209.02599999999998,43,258.1144,49.08840000000001,
6,2612331.7278444488,1269112.3702513864,209.02599999999998,44,257.6384,48.61240000000001,
6,2612318.598731284,1269095.9068642093,209.02599999999998,45,256.7844,47.75840000000002,
6,2612297.5412687156,1269095.9068642093,209.02599999999998,46,255.8953,46.86930000000001,
6,2612284.412155551,1269112.3702513864,209.02599999999998,47,256.0692,47.04320000000004,
6,2612289.0978817884,1269132.8997594044,209.02599999999998,48,255.8845,46.85850000000002,MIN
6,2612308.07,1269142.0362500001,209.02599999999998,49,258.0216,48.995599999999996,
7,2612347.490333333,1269088.378,207.03666666666666,50,256.6304,49.59373333333335,
7,2612366.87730436,1269103.8385934848,207.03666666666666,51,258.7858,51.74913333333333,
7,2612371.665490781,1269082.8601780701,207.03666666666666,52,257.8607,50.82403333333335,
7,2612358.249290561,1269066.0367951118,207.03666666666666,53,256.0497,49.01303333333331,
7,2612336.7313761055,1269066.0367951118,207.03666666666666,54,255.9567,48.92003333333335,
7,2612323.3151758853,1269082.8601780701,207.03666666666666,55,255.7091,48.672433333333345,MIN
7,2612328.1033623065,1269103.8385934848,207.03666666666666,56,257.043,50.006333333333345,
7,2612347.490333333,1269113.1748666668,207.03666666666666,57,259.57,52.53333333333333,
8,2612386.9106666665,1269058.986,205.0473333333333,58,261.2156,56.16826666666668,
8,2612406.76914779,1269078.8444811238,205.0473333333333,59,262.6733,57.62596666666667,
8,2612414.9948,1269058.986,205.0473333333333,60,262.5919,57.5445666666667,
8,2612406.76914779,1269039.1275188762,205.0473333333333,61,262.5049,57.45756666666671,
8,2612386.9106666665,1269030.9018666667,205.0473333333333,62,255.1424,50.095066666666696,MIN
8,2612367.052185543,1269039.1275188762,205.0473333333333,63,255.47799999999998,50.43066666666667,
8,2612358.826533333,1269058.986,205.0473333333333,64,256.007,50.95966666666669,
